"Phase","Species","comp","response","SE","df","lower.CL","upper.CL",".group"
"Resistance","Fes","solo",3.79191390771663,0.330670461526341,70.8843207818921,3.18670005083357,4.51206917945531," 1       "
"Resistance","Pha","comp",4.57162070559885,0.361856795368528,68.6047935737946,3.90378245314094,5.35370915944471," 12      "
"Resistance","Pha","solo",5.14744639360892,0.378755656396763,63.1898291445216,4.4436181792673,5.96275451808653," 123     "
"Resistance","Fes","comp",6.46933659139436,0.512066410989724,68.6047935737943,5.52427340221343,7.57607614351327,"  234    "
"Recovery","Pha","comp",6.88321166597508,0.54482580154618,68.6047935737949,5.8776881664702,8.06075475539703,"   34    "
"Recovery","Fes","comp",9.53955576235963,0.75508300003525,68.6047935737949,8.14598427867186,11.1715320125816,"    45   "
"Resistance","Rye","comp",10.6702600819045,0.844581466318498,68.604793573794,9.11151137870533,12.4956711881604,"     5   "
"Resistance","Rye","solo",11.8554035201226,0.872335678461404,63.189829144521,10.2343730417426,13.7331903040545,"     5   "
"Recovery","Rye","comp",12.9948432455389,1.02857884237601,68.6047935737949,11.0965113490548,15.2179316241146,"     5   "
"Recovery","Fes","solo",13.8406480149526,1.0955266980878,68.604793573794,11.8187580161014,16.2084321561395,"     5   "
"Control","Pha","comp",26.8293952150903,2.60089640387772,42.9934884937245,22.0650520839293,32.6224676411154,"      6  "
"Recovery","Rye","solo",27.5044356948173,2.39849971981655,70.8843207818924,23.1145507941138,32.7280417269879,"      6  "
"Recovery","Pha","solo",32.4352080298508,2.56733906651951,68.6047935737931,27.6969600334158,37.9840501871119,"      6  "
"Control","Fes","comp",32.5133012030553,3.15190586665385,42.9934884937222,26.7396144681782,39.5336573150159,"      6  "
"Control","Fes","solo",37.417659308054,3.62734436447907,42.9934884937236,30.7730604760915,45.4969771102672,"      67 "
"Control","Rye","comp",39.6660522750808,3.84530817378457,42.9934884937245,32.6221855691045,48.2308489036234,"      678"
"Control","Pha","solo",54.5387926193628,5.28710201845139,42.9934884937246,44.8538362528575,66.314949820783,"       78"
"Control","Rye","solo",61.4335752781217,5.95549634038519,42.9934884937244,50.5242487706663,74.6984717889329,"        8"
