Shelter,Sidex,Rep,sRep,AGB_g,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_mm,Side,Trt,Ttype,SeedHead
3,W,2,A,66.27,NA,197.8798587,36.25,240,West,Double,Recovery,11
3,W,5,B,NA,NA,NA,NA,NA,West,Double,Recovery,NA
3,W,6,B,NA,NA,NA,41.35,190,West,Double,Recovery,8
4,W,8,A,NA,NA,NA,NA,NA,West,Long,Recovery,NA
5,E,11,A,NA,NA,NA,NA,NA,East,Short,Resistance,0
5,E,11,B,NA,NA,NA,NA,NA,East,Short,Resistance,0
5,E,11,C,NA,NA,NA,NA,NA,East,Short,Resistance,0
5,E,15,A,NA,NA,NA,39.4,50,East,Short,Resistance,0
5,W,1,A,NA,NA,NA,44.95,90,West,Double,Resistance,0
6,E,8,A,NA,NA,NA,NA,NA,East,Long,Resistance,0
2,E,13,A,102.84,NA,NA,39.4,50,East,Long,Control,100
6,W,14,A,89.98,NA,182.6923077,49.15,70,West,Double,Recovery,0
6,W,7,A,81.81,NA,NA,NA,NA,West,Double,Recovery,NA
6,W,11,A,69.54,NA,NA,NA,NA,West,Double,Recovery,NA
6,W,6,C,65.46,NA,NA,NA,NA,West,Double,Recovery,NA
4,E,11,B,61.7,NA,NA,34.9,45,East,Short,Resistance,0
6,W,6,B,56.3,NA,NA,NA,NA,West,Double,Recovery,NA
6,W,3,C,44.26,NA,191.0447761,54.65,130,West,Double,Recovery,10
6,W,14,A,32.2,NA,182.6923077,49.15,70,West,Double,Recovery,0
5,E,8,A,31.2,NA,NA,44.7,40,East,Short,Resistance,0
6,W,6,A,27.95,NA,NA,NA,NA,West,Double,Recovery,NA
2,E,14,C,21.08,NA,NA,33.55,70,East,Long,Control,0
1,W,10,A,10.56,NA,NA,NA,NA,West,Long,Resistance,0
6,E,1,B,9.56,NA,NA,50.6,35,East,Long,Recovery,0
6,W,16,A,8.24,NA,NA,NA,NA,West,Double,Resistance,NA
4,W,12,A,4.82,NA,NA,NA,40,West,Long,Resistance,0
4,W,14,C,4.81,NA,NA,NA,30,West,Long,Resistance,0
4,E,14,A,3.21,NA,NA,NA,NA,East,Short,Resistance,0
5,W,15,B,2.8,NA,NA,NA,15,West,Double,Resistance,0
4,W,14,B,1.41,NA,NA,NA,10,West,Long,Resistance,0
5,W,4,A,41.98,330.08654,16.47446458,41.65,120,West,Double,Recovery,2
4,W,12,B,2.22,70.18508696,NA,NA,20,West,Long,Resistance,0
6,W,5,B,3.07,45.89541096,72.27722772,NA,20,West,Double,Resistance,0
2,E,12,A,14.88,45.72004669,111.6258868,30.2,200,East,Long,Control,0
5,W,5,A,26.33,43.47871739,125.3405995,41.75,60,West,Double,Recovery,0
2,E,15,A,24.2,42.01323656,113.4146341,35.6,80,East,Long,Control,1
3,E,10,A,94.03,41.16019197,95.67292726,27.7,160,East,Double,Control,11
2,E,11,A,44.41,38.43775384,126.5833474,33.2,440,East,Long,Control,0
5,W,8,A,31.27,38.35468701,148.3622351,34.75,90,West,Double,Recovery,0
2,E,7,A,61.3,38.2802116,119.0089358,24.6,130,East,Long,Control,1
5,E,12,A,1.02,38.28,124.66,32.1,35,East,Short,Resistance,0
2,E,14,B,74.94,38.27216854,137.9844961,34.55,130,East,Long,Control,26
5,W,4,C,27.72,38.01720333,170.4545455,42.4,60,West,Double,Recovery,0
4,W,13,B,NA,37.82863934,119.6078431,NA,NA,West,Long,Resistance,0
4,E,5,A,3.87,36.863249,204.0983607,21.7,30,East,Short,Recovery,0
4,E,11,C,3.24,36.25,155.21,25.9,45,East,Short,Resistance,0
2,E,8,B,16.54,36.10435065,138.2405745,28.75,60,East,Long,Control,0
3,E,12,A,96.34,35.70376471,126.029654,39.85,70,East,Double,Control,40
2,E,8,A,28.02,35.57838325,136.4440869,27.15,190,East,Long,Control,4
3,W,5,A,16.5,35.45933333,132.518797,29.6,NA,West,Double,Resistance,0
2,E,10,A,64.41,35.42444485,108.8435374,33,130,East,Long,Control,19
2,E,16,A,26.35,35.14776233,165.840357,27.25,170,East,Long,Control,0
6,W,16,A,53.22,35.13185,171.8213058,35.75,120,West,Double,Recovery,0
6,W,5,A,5.87,34.70725882,130.2681992,38.85,30,West,Double,Resistance,0
1,W,13,A,16.65,33.44144444,1759.776536,40.7,75,West,Long,Recovery,0
4,E,1,B,6.57,33.25411737,190.1785714,49.15,55,East,Short,Recovery,0
2,W,16,C,1.16,32.87,184.65,NA,NA,West,Short,Resistance,0
5,W,4,B,24.5,32.81352787,135.2549889,19.6,40,West,Double,Recovery,0
6,E,1,C,2.99,32.4396,203.7037037,28.7,20,East,Long,Recovery,0
2,W,13,A,21.15,32.41,169.06,24.6,55,West,Short,Resistance,0
6,W,5,C,11.21,32.25776718,173.5099338,35,30,West,Double,Resistance,0
4,W,8,A,10.67,32.19828276,135.5140187,25.6,50,West,Long,Resistance,0
1,W,11,C,1.86,32.15883444,191.1392405,NA,15,West,Long,Resistance,0
6,E,11,A,2.15,31.97541667,99.08256881,NA,20,East,Long,Resistance,0
4,W,7,A,5.68,31.8736,208.3333333,37.05,80,West,Long,Recovery,0
