Date,Period,Shelter,Side,Rep,Type,sREP,Species,Height_mm.raw,LeafWidth_mm.raw,LeafLength_mm.raw,SPAD1.raw,SPAD2.raw,Tillers.raw,Height_mm,LeafWidth_mm,LeafLength_mm,SPAD1,SPAD2,SPAD_mean,Tillers
25/05/2018,Pre,1,East,1,S,a,Pha,dead,dead,dead,dead,dead,NA,NA,NA,NA,NA,NA,NA,NA
25/05/2018,Pre,1,East,2,S,a,Rye,40,4.6,230,35.3,44.1,NA,40,4.6,230,35.3,44.1,39.7,NA
25/05/2018,Pre,1,East,3,S,a,Rye,30,3.6,160,33,32.8,NA,30,3.6,160,33,32.8,32.9,NA
25/05/2018,Pre,1,East,4,S,a,Pha,40,10,170,36.4,34.6,NA,40,10,170,36.4,34.6,35.5,NA
25/05/2018,Pre,1,East,5,M,a,Pha,25,8.9,145,32.3,33.6,NA,25,8.9,145,32.3,33.6,32.95,NA
25/05/2018,Pre,1,East,5,M,b,Fes,30,7.2,220,30.4,29.1,NA,30,7.2,220,30.4,29.1,29.75,NA
25/05/2018,Pre,1,East,5,M,c,Rye,15,4,150,21.3,29.3,NA,15,4,150,21.3,29.3,25.3,NA
25/05/2018,Pre,1,East,6,S,a,Rye,40,2.8,180,38.2,39.4,NA,40,2.8,180,38.2,39.4,38.8,NA
25/05/2018,Pre,1,East,7,S,a,Fes,15,3.5,130,33.8,33.9,NA,15,3.5,130,33.8,33.9,33.85,NA
25/05/2018,Pre,1,East,8,S,a,Fes,15,1.8,100,35.5,32.9,NA,15,1.8,100,35.5,32.9,34.2,NA
25/05/2018,Pre,1,East,9,S,a,Rye,25,3.5,155,33.4,30.4,NA,25,3.5,155,33.4,30.4,31.9,NA
25/05/2018,Pre,1,East,10,M,a,Pha,5,3.8,195,40.8,40.5,NA,5,3.8,195,40.8,40.5,40.65,NA
25/05/2018,Pre,1,East,10,M,b,Rye,40,3.1,95,24.2,TS,NA,40,3.1,95,24.2,NA,24.2,NA
25/05/2018,Pre,1,East,10,M,c,Fes,5,3.1,30,TS,NA,NA,5,3.1,30,NA,NA,NA,NA
25/05/2018,Pre,1,East,11,S,a,Pha,80,11.1,245,32.4,23.7,NA,80,11.1,245,32.4,23.7,28.05,NA
25/05/2018,Pre,1,East,12,M,a,Fes,20,5.2,170,37.7,29.8,NA,20,5.2,170,37.7,29.8,33.75,NA
25/05/2018,Pre,1,East,12,M,b,Rye,15,2,120,34.1,33.7,NA,15,2,120,34.1,33.7,33.9,NA
25/05/2018,Pre,1,East,12,M,c,Pha,5,2,55,TS,NA,NA,5,2,55,NA,NA,NA,NA
25/05/2018,Pre,1,East,13,S,a,Pha,20,5.3,95,32.1,26,NA,20,5.3,95,32.1,26,29.05,NA
25/05/2018,Pre,1,East,14,S,a,Fes,20,6.2,135,37.2,39.4,NA,20,6.2,135,37.2,39.4,38.3,NA
25/05/2018,Pre,1,East,15,S,a,Fes,20,5.4,110,29.1,27.6,NA,20,5.4,110,29.1,27.6,28.35,NA
25/05/2018,Pre,1,East,16,M,a,Fes,25,4.8,145,36,34.6,NA,25,4.8,145,36,34.6,35.3,NA
25/05/2018,Pre,1,East,16,M,b,Rye,15,2.5,105,TS,NA,NA,15,2.5,105,NA,NA,NA,NA
25/05/2018,Pre,1,East,16,M,c,Pha,5,5.3,65,34.7,TS,NA,5,5.3,65,34.7,NA,34.7,NA
25/05/2018,Pre,1,West,1,S,a,Pha,25,6.1,135,27.4,32.3,NA,25,6.1,135,27.4,32.3,29.85,NA
25/05/2018,Pre,1,West,2,M,a,Rye,20,2.7,100,TS,NA,NA,20,2.7,100,NA,NA,NA,NA
25/05/2018,Pre,1,West,2,M,b,Pha,15,4.3,70,25.2,35.4,NA,15,4.3,70,25.2,35.4,30.3,NA
25/05/2018,Pre,1,West,2,M,c,Fes,50,8.1,260,44.4,31.5,NA,50,8.1,260,44.4,31.5,37.95,NA
25/05/2018,Pre,1,West,3,S,a,Pha,10,5.8,75,29.9,26.4,NA,10,5.8,75,29.9,26.4,28.15,NA
25/05/2018,Pre,1,West,4,S,a,Rye,15,2.4,90,39.6,29.4,NA,15,2.4,90,39.6,29.4,34.5,NA
25/05/2018,Pre,1,West,5,S,a,Pha,20,6.5,85,26.4,25.5,NA,20,6.5,85,26.4,25.5,25.95,NA
25/05/2018,Pre,1,West,6,S,a,Fes,30,3.8,135,39.7,34.3,NA,30,3.8,135,39.7,34.3,37,NA
25/05/2018,Pre,1,West,7,M,a,Fes,30,3.5,130,38.4,36.7,NA,30,3.5,130,38.4,36.7,37.55,NA
25/05/2018,Pre,1,West,7,M,b,Pha,10,4.9,80,21.8,23.8,NA,10,4.9,80,21.8,23.8,22.8,NA
25/05/2018,Pre,1,West,7,M,c,Rye,25,3,145,38.3,36.6,NA,25,3,145,38.3,36.6,37.45,NA
25/05/2018,Pre,1,West,8,S,a,Rye,30,2.5,195,42.6,35,NA,30,2.5,195,42.6,35,38.8,NA
25/05/2018,Pre,1,West,9,S,a,Rye,40,3.8,180,41.2,40.3,NA,40,3.8,180,41.2,40.3,40.75,NA
25/05/2018,Pre,1,West,10,S,a,Fes,40,5.4,155,42.8,35.2,NA,40,5.4,155,42.8,35.2,39,NA
