Experiment,Phase,Shelter,Side.s,Side,Rep,sRep,LeafSide,Both,gs_mmol.m2.s,Temp_C,RH_leaf,RH_filter,SM
Short,Resistance,2,W,West,1,A,Abaxial,2-West,109.8,21.3,20.6,24,0.026625
Short,Resistance,2,W,West,1,A,Adaxial,2-West,44.8,24.7,55.9,11.6,0.026625
Short,Resistance,2,W,West,3,A,Abaxial,2-West,203.2,24.3,56.1,9.6,0.03534375
Short,Resistance,2,W,West,3,A,Adaxial,2-West,53.9,21.3,57.7,28.7,0.03534375
Short,Resistance,2,W,West,10,A,Abaxial,2-West,25.3,22.3,25.1,20.6,0.0273125
Short,Resistance,2,W,West,10,A,Adaxial,2-West,16.4,22.2,55.7,16,0.0273125
Short,Resistance,4,E,East,3,A,Abaxial,4-East,29.8,22.7,23.2,24.2,0.03211458
Short,Resistance,4,E,East,3,A,Adaxial,4-East,15.5,23.8,44.9,27.1,0.03211458
Short,Resistance,4,E,East,10,A,Abaxial,4-East,127.4,22.1,27.7,28.2,0.0365625
Short,Resistance,4,E,East,10,A,Adaxial,4-East,53.7,25.3,53.2,26.3,0.0365625
Short,Resistance,4,E,East,14,A,Abaxial,4-East,152.3,23.4,24.2,21.9,0.03386458
Short,Resistance,4,E,East,14,A,Adaxial,4-East,60.8,25.5,49.9,18.2,0.03386458
Short,Resistance,5,E,East,1,A,Abaxial,5-East,86.7,26.1,26.9,13.4,0.04236458
Short,Resistance,5,E,East,1,A,Adaxial,5-East,57.6,25.9,54.5,10.4,0.04236458
Short,Resistance,5,E,East,5,A,Abaxial,5-East,197,25.2,56.5,17.4,0.06552083
Short,Resistance,5,E,East,5,A,Adaxial,5-East,56.6,25,21.5,16.7,0.06552083
Short,Recovery,2,W,West,1,A,Abaxial,2-West,195.2,34.3,36.1,23.4,0.0955625
Short,Recovery,2,W,West,1,A,Adaxial,2-West,46.5,33.6,19.3,11,0.0955625
Short,Recovery,2,W,West,3,A,Abaxial,2-West,291.4,31.2,60.6,11.1,0.116625
Short,Recovery,2,W,West,3,A,Adaxial,2-West,41.7,31.3,48.4,20,0.116625
Short,Recovery,2,W,West,10,A,Abaxial,2-West,150.6,34.4,32.1,32.9,0.117135417
Short,Recovery,2,W,West,10,A,Adaxial,2-West,40.7,32.2,20.6,30.3,0.117135417
Short,Recovery,4,E,East,3,A,Abaxial,4-East,205.9,32.6,59.6,31.4,0.116229167
Short,Recovery,4,E,East,3,A,Adaxial,4-East,57.1,31.2,41.8,18.7,0.116229167
Short,Recovery,4,E,East,10,A,Abaxial,4-East,204.9,31.1,36.1,32.3,0.076979167
Short,Recovery,4,E,East,10,A,Adaxial,4-East,46.1,33.9,24.7,21.7,0.076979167
Short,Recovery,4,E,East,14,A,Abaxial,4-East,252.5,34.5,62.1,12.9,0.060229167
Short,Recovery,4,E,East,14,A,Adaxial,4-East,42.6,31.7,25.9,30.6,0.060229167
Short,Recovery,5,E,East,1,A,Abaxial,5-East,245.6,33.6,56.6,19,0.057385417
Short,Recovery,5,E,East,1,A,Adaxial,5-East,59.2,31.7,53.8,15.2,0.057385417
Short,Recovery,5,E,East,5,A,Abaxial,5-East,265.4,33.5,38.7,16.2,0.092739583
Short,Recovery,5,E,East,5,A,Adaxial,5-East,54.3,33.9,61.6,28.1,0.092739583
Long,Resistance,1,W,West,6,A,Abaxial,1-West,68.7,27.8,41.9,21.5,0.02259375
Long,Resistance,1,W,West,13,A,Abaxial,1-West,26.3,28.8,26.5,13.6,0.016322917
Long,Resistance,1,W,West,15,A,Abaxial,1-West,65.4,29.2,40.9,20.8,0.023520833
Long,Resistance,4,W,West,1,A,Abaxial,4-West,95.1,30.4,46.5,23.6,0.047072917
Long,Resistance,4,W,West,4,A,Abaxial,4-West,61.9,30.5,40.3,20.8,0.025135417
Long,Resistance,4,W,West,11,A,Abaxial,4-West,103.1,30.5,47.9,24.7,0.028541667
Long,Resistance,6,E,East,2,A,Abaxial,6-East,46.6,30.1,35.8,18.5,0.043979167
Long,Resistance,6,E,East,4,A,Abaxial,6-East,23.5,30.1,24.3,12.3,0.027052083
