Shelter,Side,Rep,sRep,Experiment,Phase,Type,Species,PotType,AGB_g,BGB_g,Iso_g_raw,log_mixAGB,log_isoAGB,CompEffect,AGB_g,BGB_g,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_mm,SeedHead,PhaseNum,Control_CompEffect,RelCompEffect,RelCompEffect_pos,RelCompEffect_0to1,CompEffect_diff
5,East,12,A,Short,Resistance,Mix,Fes,FesMix,9.23,25.87,3.97,0.965201701,0.598790507,-0.366411194,9.23,25.87,18.28,224.66,32.1,35,0,0,0.06491341,-5.644614788,1,0.090072858,-0.431324604
5,East,15,C,Short,Resistance,Mix,Fes,FesMix,8.73,20.99,3.97,0.941014244,0.598790507,-0.342223737,8.73,20.99,17.92,243.94084,30.9,50,0,0,0.06491341,-5.272003689,1.372611099,0.123635005,-0.407137147
4,East,11,A,Short,Resistance,Mix,Fes,FesMix,7.06,17.2832,3.97,0.848804701,0.598790507,-0.250014194,7.06,17.2832,16.58,226.11,32.7,40,0,0,0.06491341,-3.85150301,2.793111778,0.251583562,-0.314927604
5,East,12,B,Short,Resistance,Mix,Pha,PhaMix,8.05,25.87,5.207143,0.90579588,0.716599505,-0.189196375,8.05,25.87,28.97,173.04,35.2,40,0,0,0.31125801,-0.607844197,6.036770591,0.543749183,-0.500454385
1,West,2,C,Long,Recovery,Mix,Fes,FesMix,22.39,38.86,15.326667,1.350054094,1.185447722,-0.164606372,22.39,38.86,21.69769535,182.129278,45.95,100,0,1,0.3785015,-0.434889616,6.209725172,0.559327696,-0.543107872
3,West,16,C,Double,Resistance,Mix,Rye,RyeMix,23.8,29.17,16.388333,1.376576957,1.21453478,-0.162042177,23.8,29.17,27.91617595,256.445993,43.95,25,0,0,0.28484924,-0.568869964,6.075744824,0.547259703,-0.446891417
2,West,16,B,Short,Resistance,Mix,Fes,FesMix,5.57,11.6032,3.97,0.745855195,0.598790507,-0.147064688,5.57,11.6032,16.61,269.8,31.6,70,0,0,0.06491341,-2.265551725,4.379063063,0.394434727,-0.211978098
6,East,1,A,Long,Recovery,Mix,Rye,RyeMix,19.86,32.56,14.66,1.297979244,1.16613397,-0.131845274,19.86,32.56,31.68513592,182.300885,38.45,40,0,1,0.45912076,-0.287169053,6.357445735,0.57263331,-0.590966034
6,East,1,B,Long,Recovery,Mix,Fes,FesMix,19.56,32.56,15.326667,1.29136885,1.185447722,-0.105921128,19.56,32.56,22.980415,199.80481,50.6,35,0,1,0.3785015,-0.279843351,6.364771437,0.573293156,-0.484422628
4,West,7,B,Long,Recovery,Mix,Fes,FesMix,18.91,39.42,15.326667,1.276691529,1.185447722,-0.091243807,18.91,39.42,22.24172449,181.3135985,41,100,1,1,0.3785015,-0.241065906,6.403548882,0.576785952,-0.469745307
