Shelter,Side,Rep,sRep,Experiment,Phase,Type,Species,PotType,AGB_g,BGB_g,Iso_g_raw,log_mixAGB,log_isoAGB,CompEffect,AGB_g,BGB_g,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_mm,SeedHead,PhaseNum,Control_CompEffect,CompEff_standard
3,East,3,A,Double,Control,Mix,Fes,FesMix,51.6,132.73,83.32,1.712649702,1.920749261,0.208099559,51.6,132.73,30.39606484,183.8012404,25.95,220,2,2,0.24852662,-0.040427061
3,East,5,A,Double,Control,Mix,Fes,FesMix,43.28,119.58,83.32,1.636287252,1.920749261,0.284462009,43.28,119.58,27.48912847,201.3471074,30.6,120,2,2,0.24852662,0.035935389
3,East,7,A,Double,Control,Mix,Fes,FesMix,53.88,118.96,83.32,1.731427587,1.920749261,0.189321674,53.88,118.96,30.968573,195.0632911,33.35,70,6,2,0.24852662,-0.059204946
3,East,9,A,Double,Control,Mix,Fes,FesMix,40.6,98.27,83.32,1.608526034,1.920749261,0.312223227,40.6,98.27,28.74160394,193.1530008,21.5,140,0,2,0.24852662,0.063696607
3,West,1,A,Double,Recovery,Mix,Fes,FesMix,39.75,102.91,47.821667,1.599337133,1.679624711,0.080287578,39.75,102.91,18.14328735,189.8368679,41.7,170,0,1,0.24852662,-0.168239042
3,West,6,A,Double,Recovery,Mix,Fes,FesMix,35.19,112.93,47.821667,1.546419267,1.679624711,0.133205444,35.19,112.93,19.916155,179.48616,33.4,90,0,1,0.24852662,-0.115321176
5,West,4,B,Double,Recovery,Mix,Fes,FesMix,27.5,137.12,47.821667,1.439332694,1.679624711,0.240292017,27.5,137.12,22.81352787,175.2549889,39.4,40,0,1,0.24852662,-0.008234603
5,West,8,B,Double,Recovery,Mix,Fes,FesMix,26.04,144.86,47.821667,1.41564098,1.679624711,0.263983731,26.04,144.86,23.3011253,180.4312115,33.35,40,0,1,0.24852662,0.015457111
6,West,3,A,Double,Recovery,Mix,Fes,FesMix,25.25,137.55,47.821667,1.402261382,1.679624711,0.277363329,25.25,137.55,23.62850625,188.6792453,33.05,170,0,1,0.24852662,0.028836709
6,West,14,C,Double,Recovery,Mix,Fes,FesMix,33.28,92.5,47.821667,1.522183318,1.679624711,0.157441393,33.28,92.5,20.84675849,185.9649123,43.85,130,2,1,0.24852662,-0.091085227
3,West,10,A,Double,Resistance,Mix,Fes,FesMix,6.25,33.72,21.573333,0.795880017,1.333917247,0.53803723,6.25,33.72,20.03634517,201.7283951,28.65,20,0,0,0.24852662,0.28951061
3,West,16,A,Double,Resistance,Mix,Fes,FesMix,8.39,29.17,21.573333,0.923761961,1.333917247,0.410155286,8.39,29.17,22.33480889,216.3461538,37.5,20,0,0,0.24852662,0.161628666
5,West,10,C,Double,Resistance,Mix,Fes,FesMix,7.37,28.25,21.573333,0.867467488,1.333917247,0.466449759,7.37,28.25,20.65396222,174.4186047,42.4,45,0,0,0.24852662,0.217923139
