Shelter,Side,Rep,sRep,Experiment,Phase,Type,Species,PotType,AGB_g,BGB_g,RS_ratio,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_cm,SeedHead,PhaseNum
1,East,1,A,Short,Control,Pha,Pha,PhaPha,57.9,63.07,1.089291883,30.077223,210.163232,34.9,170,0,2
1,East,2,A,Short,Control,Pha,Pha,PhaPha,44.78,53.49,1.194506476,29.831335,211.053398,37.85,200,0,2
1,East,3,A,Short,Control,Rye,Rye,RyeRye,55.29,60.18,1.088442756,24.297352,181.42748,33.6,100,0,2
1,East,4,A,Short,Control,Rye,Rye,RyeRye,64.95,57.9,0.891454965,24.323103,184.620519,36,110,0,2
1,East,5,A,Short,Control,Mix,Pha,PhaMix,28.35,89.14,NA,28.619101,205.77931,29.2,160,0,2
1,East,5,B,Short,Control,Mix,Fes,FesMix,41.41,89.14,NA,24.34973,183.621842,29.5,100,0,2
1,East,5,C,Short,Control,Mix,Rye,RyeMix,38.43,89.14,NA,24.72253,208.912539,47.05,110,0,2
1,East,6,A,Short,Control,Rye,Rye,RyeRye,57.71,46.63,0.808005545,24.242459,198.750332,41.05,90,0,2
1,East,7,A,Short,Control,Fes,Fes,FesFes,35.7,48.31,1.353221289,23.584123,178.840111,42.8,100,0,2
1,East,8,A,Short,Control,Fes,Fes,FesFes,32.72,50.9,1.555623472,24.597717,191.562336,45.4,90,0,2
1,East,9,A,Short,Control,Rye,Rye,RyeRye,68.73,48.47,0.705223338,23.689473,187.504723,42.45,100,0,2
1,East,10,A,Short,Control,Mix,Pha,PhaMix,28.83,139.74,NA,30.374358,206.872194,28.05,150,0,2
1,East,10,B,Short,Control,Mix,Rye,RyeMix,45.03,139.74,NA,22.412926,206.837326,33.6,90,0,2
1,East,10,C,Short,Control,Mix,Fes,FesMix,26.86,139.74,NA,21.688939,189.008348,28.1,110,0,2
1,East,11,A,Short,Control,Pha,Pha,PhaPha,62.27,60.88,0.977677855,27.461818,200.787452,27.75,150,0,2
