Date,Time,TimeStamp,PlantID,Serial Number,CalNumber,Shelter,Side.s,Side,Rep,sRep,LeafSide,Both,gs_mmol.m2.s,Temp_C,RH_leaf,RH_filter
12/09/2018,14:05:37,12/09/2018 2:05:37PM,1E 6 AB,LPS1515,3206609,1,E,East,6,A,Abaxial,1-East,243.1,31.5,34.1,16.2
12/09/2018,14:06:46,12/09/2018 2:06:46PM,1E 6 AA,LPS1515,3206609,1,E,East,6,A,Adaxial,1-East,56.1,33.6,35.3,22.4
12/09/2018,14:08:14,12/09/2018 2:08:14PM,1E 13 AB,LPS1515,3206609,1,E,East,13,A,Abaxial,1-East,226.1,31.3,37.8,29.6
12/09/2018,14:10:34,12/09/2018 2:10:34PM,1E 13 AA,LPS1515,3206609,1,E,East,13,A,Adaxial,1-East,46.7,31.4,41.5,20
12/09/2018,14:13:01,12/09/2018 2:13:1PM,1E 14 AB,LPS1515,3206609,1,E,East,14,A,Abaxial,1-East,305.1,34.5,38.4,31.5
12/09/2018,14:15:15,12/09/2018 2:15:15PM,1E 14 AA,LPS1515,3206609,1,E,East,14,A,Adaxial,1-East,42.3,33.8,37.6,20.9
12/09/2018,14:16:36,12/09/2018 2:16:36PM,1W 6 AB,LPS1515,3206609,1,W,West,6,A,Abaxial,1-West,91.5,31.6,39.4,17.7
12/09/2018,14:18:01,12/09/2018 2:18:1PM,1W 6 AA,LPS1515,3206609,1,W,West,6,A,Adaxial,1-West,49.5,31.3,54.7,29
12/09/2018,14:20:12,12/09/2018 2:20:12PM,1W 13 AB,LPS1515,3206609,1,W,West,13,A,Abaxial,1-West,28.4,32.8,36,14.9
12/09/2018,14:22:59,12/09/2018 2:22:59PM,1W 13 AA,LPS1515,3206609,1,W,West,13,A,Adaxial,1-West,18.3,33.6,28.5,18.1
12/09/2018,14:25:01,12/09/2018 2:25:1PM,1W 15 AB,LPS1515,3206609,1,W,West,15,A,Abaxial,1-West,77.9,34.1,42.1,17.5
12/09/2018,14:27:14,12/09/2018 2:27:14PM,1W 15 AA,LPS1515,3206609,1,W,West,15,A,Adaxial,1-West,33.7,32.9,61,19.6
12/09/2018,14:29:53,12/09/2018 2:29:53PM,2E 1 AB,LPS1515,3206609,2,E,East,1,A,Abaxial,2-East,328.9,31.3,44.6,28.9
12/09/2018,14:32:48,12/09/2018 2:32:48PM,2E 1 AA,LPS1515,3206609,2,E,East,1,A,Adaxial,2-East,58.1,31.7,38,32.2
12/09/2018,14:34:34,12/09/2018 2:34:34PM,2E 4 AB,LPS1515,3206609,2,E,East,4,A,Abaxial,2-East,265.2,32.7,29.2,20.2
12/09/2018,14:36:31,12/09/2018 2:36:31PM,2E 4 AA,LPS1515,3206609,2,E,East,4,A,Adaxial,2-East,40.6,34.8,46.5,19.4
12/09/2018,14:38:37,12/09/2018 2:38:37PM,2E 11 AB,LPS1515,3206609,2,E,East,11,A,Abaxial,2-East,319.5,31.8,38.3,29.4
