PotType,Phase,Experiment,SLA_mm2.mg.mean,SLA_mm2.mg.std.error,LDMC_mg.g.mean,LDMC_mg.g.std.error,Ht_cm.mean,Ht_cm.std.error,SLA_mm2.mg.mean,LDMC_mg.g.mean,Ht_cm.mean,SLA_mm2.mg.std.error,LDMC_mg.g.std.error,Ht_cm.std.error,Exp,Ph
FesFes,Control,Double,22,0.3,179.2,3.7,92.5,4.8,22.0453735,179.2429075,92.5,0.30679729,3.705403192,4.787135539,3,1
FesMix,Control,Double,22.7,0.7,182.2,2.4,85,2.9,22.66066225,182.208584,85,0.731125626,2.410417302,2.886751346,3,1
PhaMix,Control,Double,28.8,0.5,205.5,6.1,210,12.2,28.76843525,205.503412,210,0.51362178,6.071968068,12.24744871,3,1
PhaPha,Control,Double,29.1,0.4,201.7,6,192.5,10.3,29.119131,201.6589433,192.5,0.378664359,6.039543976,10.30776406,3,1
RyeMix,Control,Double,22.7,0.8,191.2,3.9,107.5,7.5,22.6720755,191.1977873,107.5,0.843800005,3.921269652,7.5,3,1
RyeRye,Control,Double,23.5,0.4,194.9,6.3,95,5,23.5204615,194.875662,95,0.396564903,6.268702069,5,3,1
FesFes,Control,Long,23,0.2,173.9,1.2,85,2.9,23.008209,173.8654198,85,0.247049341,1.218008327,2.886751346,3,1
FesMix,Control,Long,23.6,0.4,187.1,1.7,87.5,4.8,23.60263525,187.1425683,87.5,0.374290329,1.684740913,4.787135539,3,1
PhaMix,Control,Long,29.2,0.5,199.9,1.9,190,19.6,29.24664875,199.8705788,190,0.544356368,1.883837968,19.57890021,3,1
PhaPha,Control,Long,29.7,0.6,200.2,5.4,185,17.6,29.66544425,200.1962548,185,0.588814384,5.352891702,17.55942292,3,1
RyeMix,Control,Long,23.2,0.7,192.3,5.2,102.5,4.8,23.24708075,192.3452975,102.5,0.749793668,5.220478256,4.787135539,3,1
RyeRye,Control,Long,23.6,0.3,194.8,3.3,102.5,4.8,23.60136575,194.7787048,102.5,0.325503969,3.33716767,4.787135539,3,1
FesFes,Control,Short,23.8,0.4,181.1,3.6,92.5,2.5,23.7636995,181.0558155,92.5,0.378810906,3.570207105,2.5,3,1
